pub_name,journal_name,date,journal_type,issn,apc
BioMed Central,Acta Neuropathologica Communications,2016-06-24,OA,2051-5960,1400
BioMed Central,Alzheimer's Research & Therapy,2016-06-24,OA,1758-9193,2175
BioMed Central,Annals of Clinical Microbiology and Antimicrobials,2016-06-24,OA,1476-0711,2145
BioMed Central,Antimicrobial Resistance & Infection Control,2016-06-24,OA,2047-2994,2145
BioMed Central,Behavioral and Brain Functions,2016-06-24,OA,1744-9081,2145
BioMed Central,Biological Procedures Online,2016-06-24,OA,1480-9222,2450
BioMed Central,Biology of Sex Differences,2016-06-24,OA,2042-6410,2450
BioMed Central,Biomarker Research,2016-06-24,OA,2050-7771,2255
BioMed Central,BMC Cancer,2016-06-24,OA,1471-2407,2145
BioMed Central,BMC Immunology,2016-06-24,OA,1471-2172,2145
BioMed Central,BMC Medical Genetics,2016-06-24,OA,1471-2350,2145
BioMed Central,BMC Medical Genomics,2016-06-24,OA,1755-8794,2145
BioMed Central,BMC Neuroscience,2016-06-24,OA,1471-2202,2145
BioMed Central,BMC Pharmacology and Toxicology,2016-06-24,OA,2050-6511,2145
BioMed Central,BMC Physiology,2016-06-24,OA,1472-6793,2145
BioMed Central,BMC Research Notes,2016-06-24,OA,1756-0500,1290
BioMed Central,Breast Cancer Research,2016-06-24,OA,1465-542X,2910
BioMed Central,Cancer & Metabolism,2016-06-24,OA,2049-3002,2450
BioMed Central,Cancer Cell International,2016-06-24,OA,1475-2867,2300
BioMed Central,Chinese Journal of Cancer,2016-06-24,OA,1944-446X,0
BioMed Central,Clinical Epigenetics,2016-06-24,OA,1868-7083,2450
BioMed Central,Clinical Sarcoma Research,2016-06-24,OA,2045-3329,2145
BioMed Central,DARU Journal of Pharmaceutical Sciences,2016-06-24,OA,2008-2231,0
BioMed Central,EPMA Journal,2016-06-24,OA,1878-5085,2240
BioMed Central,Experimental & Translational Stroke Medicine,2016-06-24,OA,2040-7378,2145
BioMed Central,Extreme Physiology & Medicine,2016-06-24,OA,2046-7648,2145
BioMed Central,Flavour,2016-06-24,OA,2044-7248,2450
BioMed Central,Fluids and Barriers of the CNS,2016-06-24,OA,2045-8118,2145
BioMed Central,Genes & Nutrition,2016-06-24,OA,1865-3499,2145
BioMed Central,Genes and Environment,2016-06-24,OA,1880-7062,0
BioMed Central,Genome Medicine,2016-06-24,OA,1756-994X,2785
BioMed Central,Hereditary Cancer in Clinical Practice,2016-06-24,OA,1897-4287,2145
BioMed Central,Human Genomics,2016-06-24,OA,1479-7364,2450
BioMed Central,Immunity & Ageing,2016-06-24,OA,1742-4933,2145
BioMed Central,Infectious Agents and Cancer,2016-06-24,OA,1750-9378,1940
BioMed Central,Inflammation and Regeneration,2016-06-24,OA,1880-8190,0
BioMed Central,Journal of Biomedical Science,2016-06-24,OA,1423-0127,0
BioMed Central,Journal of Inflammation,2016-06-24,OA,1476-9255,2300
BioMed Central,Journal of Negative Results in BioMedicine,2016-06-24,OA,1477-5751,2145
BioMed Central,Journal of Neurodevelopmental Disorders,2016-06-24,OA,1866-1955,2450
BioMed Central,Journal of NeuroEngineering and Rehabilitation,2016-06-24,OA,1743-0003,2240
BioMed Central,Journal of Neuroinflammation,2016-06-24,OA,1742-2094,2450
BioMed Central,Journal of Pharmaceutical Health Care and Sciences,2016-06-24,OA,2055-0294,2220
BioMed Central,Journal of Translational Medicine,2016-06-24,OA,1479-5876,2145
BioMed Central,Journal of Venomous Animals and Toxins including Tropical Diseases,2016-06-24,OA,1678-9199,2145
BioMed Central,Malaria Journal,2016-06-24,OA,1475-2875,2240
BioMed Central,Microbiome,2016-06-24,OA,2049-2618,2450
BioMed Central,Mobile DNA,2016-06-24,OA,1759-8753,2145
BioMed Central,Molecular and Cellular Therapies,2016-06-24,OA,2052-8426,2145
BioMed Central,Molecular Brain,2016-06-24,OA,1756-6606,1980
BioMed Central,Molecular Cancer,2016-06-24,OA,1476-4598,2145
BioMed Central,Molecular Cytogenetics,2016-06-24,OA,1755-8166,2145
BioMed Central,Molecular Neurodegeneration,2016-06-24,OA,1750-1326,2580
BioMed Central,Neural Development,2016-06-24,OA,1749-8104,2145
BioMed Central,Parasites & Vectors,2016-06-24,OA,1756-3305,2145
BioMed Central,Particle and Fibre Toxicology,2016-06-24,OA,1743-8977,2145
BioMed Central,Radiation Oncology,2016-06-24,OA,1748-717X,2145
BioMed Central,Retrovirology,2016-06-24,OA,1742-4690,2450
BioMed Central,Theoretical Biology and Medical Modelling,2016-06-24,OA,1742-4682,2145
BioMed Central,Translational Neurodegeneration,2016-06-24,OA,2047-9158,2145
BioMed Central,Virology Journal,2016-06-24,OA,1743-422X,2145
BioMed Central,Biotechnology for Biofuels,2016-06-24,OA,1754-6834,2450
BioMed Central,BMC Biotechnology,2016-06-24,OA,1472-6750,2145
BioMed Central,Journal of Nanobiotechnology,2016-06-24,OA,1477-3155,2145
BioMed Central,Microbial Cell Factories,2016-06-24,OA,1475-2859,2145
BioMed Central,BMC Oral Health,2016-06-24,OA,1472-6831,2145
BioMed Central,BMC Medical Education,2016-06-24,OA,1472-6920,2145
BioMed Central,BioMedical Engineering OnLine,2016-06-24,OA,1475-925X,2145
BioMed Central,Journal of Biological Engineering,2016-06-24,OA,1754-1611,2240
BioMed Central,Environmental Evidence,2016-06-24,OA,2047-2382,2300
BioMed Central,Environmental Health,2016-06-24,OA,1476-069X,2220
BioMed Central,Journal of Environmental Health Science and Engineering,2016-06-24,OA,2052-336X,0
BioMed Central,Marine Biodiversity Records,2016-06-24,OA,1755-2672,1175
BioMed Central,Agriculture & Food Security,2016-06-24,OA,2048-7010,2450
BioMed Central,Algorithms for Molecular Biology,2016-06-24,OA,1748-7188,2145
BioMed Central,Animal Biotelemetry,2016-06-24,OA,2050-3385,2450
BioMed Central,Avian Research,2016-06-24,OA,2053-7166,0
BioMed Central,BioData Mining,2016-06-24,OA,1756-0381,2145
BioMed Central,Biological Research,2016-06-24,OA,0717-6287,2240
BioMed Central,Biology Direct,2016-06-24,OA,1745-6150,2145
BioMed Central,BMC Biology,2016-06-24,OA,1741-7007,2785
BioMed Central,BMC Cell Biology,2016-06-24,OA,1471-2121,2145
BioMed Central,BMC Developmental Biology,2016-06-24,OA,1471-213X,2145
BioMed Central,BMC Ecology,2016-06-24,OA,1472-6785,2145
BioMed Central,BMC Evolutionary Biology,2016-06-24,OA,1471-2148,2145
BioMed Central,BMC Genetics,2016-06-24,OA,1471-2156,2145
